"dataset","model","prompt_type","num_samples","tflint_run_rate","trivy_run_rate","mean_tflint_total","mean_tflint_error","mean_tflint_warning","mean_tflint_notice","mean_tflint_info","mean_trivy_total","mean_trivy_critical","mean_trivy_high","mean_trivy_medium","mean_trivy_low","mean_trivy_unknown"
"llm_iac_paraphrased","kimi-k2.5","few-shot","458","0.9607","1.0","2.893","0.0","2.893","0.0","0.0","9.9607","0.9934","3.2249","2.3974","3.345","0.0"
"llm_iac_paraphrased","kimi-k2.5","zero-shot","458","0.9323","0.9978","1.6594","0.0","1.6594","0.0","0.0","8.8275","1.0524","2.7249","2.3362","2.714","0.0"
"llm_iac_paraphrased","ministral-8b","cot","458","0.8603","1.0","0.7642","0.0","0.7642","0.0","0.0","8.1397","0.786","2.3952","2.2402","2.7183","0.0"
"llm_iac_paraphrased","ministral-8b","few-shot","458","0.9039","1.0","2.655","0.0","2.655","0.0","0.0","8.2795","0.738","2.5066","2.321","2.714","0.0"
"llm_iac_paraphrased","ministral-8b","zero-shot","458","0.8886","1.0","0.7664","0.0","0.7664","0.0","0.0","8.6223","0.8013","2.4651","2.5262","2.8297","0.0"
"llm_iac_paraphrased","phi-4","cot","458","0.8013","1.0","2.345","0.0","2.345","0.0","0.0","6.3253","0.4847","2.1616","1.7293","1.9498","0.0"
"llm_iac_paraphrased","phi-4","few-shot","458","0.7511","0.9978","2.1048","0.0","2.1048","0.0","0.0","5.7336","0.3428","1.9192","1.8188","1.6528","0.0"
"llm_iac_paraphrased","phi-4","zero-shot","320","0.8","0.9906","2.2156","0.0","2.2156","0.0","0.0","6.2875","0.4156","1.9344","1.9","2.0375","0.0"
"llm_iac_paraphrased","qwen3-235b","cot","457","0.9015","1.0","2.2144","0.0","2.2144","0.0","0.0","8.3151","0.7965","2.6389","1.9059","2.9737","0.0"
"llm_iac_paraphrased","qwen3-235b","few-shot","458","0.9127","1.0","2.8537","0.0","2.8537","0.0","0.0","8.4105","0.7445","2.7031","2.0742","2.8886","0.0"
"llm_iac_paraphrased","qwen3-235b","zero-shot","458","0.8166","0.8821","1.9323","0.0","1.9323","0.0","0.0","7.5611","0.6681","2.5153","1.7926","2.5852","0.0"
