scenario_id,model,prompt_type,dataset,ics,n_constraints
iac_eval_0391,claude-4.5-sonnet,zero-shot,iac_eval,1.0,2
iac_eval_0392,claude-4.5-sonnet,zero-shot,iac_eval,1.0,2
iac_eval_0393,claude-4.5-sonnet,zero-shot,iac_eval,1.0,2
iac_eval_0394,claude-4.5-sonnet,zero-shot,iac_eval,1.0,2
iac_eval_0395,claude-4.5-sonnet,zero-shot,iac_eval,1.0,2
iac_eval_0396,claude-4.5-sonnet,zero-shot,iac_eval,1.0,2
iac_eval_0397,claude-4.5-sonnet,zero-shot,iac_eval,1.0,2
iac_eval_0398,claude-4.5-sonnet,zero-shot,iac_eval,1.0,2
iac_eval_0399,claude-4.5-sonnet,zero-shot,iac_eval,0.5,4
iac_eval_0400,claude-4.5-sonnet,zero-shot,iac_eval,1.0,2
iac_eval_0401,claude-4.5-sonnet,zero-shot,iac_eval,1.0,2
iac_eval_0402,claude-4.5-sonnet,zero-shot,iac_eval,1.0,2
iac_eval_0403,claude-4.5-sonnet,zero-shot,iac_eval,1.0,3
iac_eval_0404,claude-4.5-sonnet,zero-shot,iac_eval,1.0,3
iac_eval_0405,claude-4.5-sonnet,zero-shot,iac_eval,1.0,2
iac_eval_0406,claude-4.5-sonnet,zero-shot,iac_eval,1.0,6
iac_eval_0407,claude-4.5-sonnet,zero-shot,iac_eval,1.0,6
iac_eval_0408,claude-4.5-sonnet,zero-shot,iac_eval,1.0,6
iac_eval_0409,claude-4.5-sonnet,zero-shot,iac_eval,1.0,6
iac_eval_0410,claude-4.5-sonnet,zero-shot,iac_eval,1.0,7
